Predicted Labels,Review
CG,Sometimes it’s automatically switched off while it have enough battery life. Ringtone sound and other output sounds are not rangable one and its like low level mobile.
OR,Its best budget iphone to buy in market right now. Display is not a serious issue and remaining features are similar to its siblings xs and xs max. Bought it for ₹52k so got a excellent deal.
CG,over all mobile is good but after one month using this phone now my battery Maximum Capacity showing 98% which is not acceptable.
CG,if u want to secure phone then go for ios.
CG,Product is damn good on all counts. A fast charger required. WhatsApp data transfer  from earlier Android device is not possible.
CG,All the features were cool except the green dot that appears on most of the photos in the form of a lens flare is a bit annoying.
CG,"Buy it without hesitation,awesome camera, awesome battery life , everything is good."
CG,Nothing to say about it
CG,I am very disappointed with Amazon within 3 months of buying an iphone the phone got dead and is not switching on. I wouldn't recommend anyone to buy an iphone from amazon.
CG,After long time apple have launched budget phone which is very good.
CG,It’s awesome. It’s my first Iphone and I love it so much. Battery life is too good.
OR,Genuine product received not fault in package no product damage. Wonderful device.
CG,"Go for it, value for money. Bought during Sales. Ppl who wants to enjoy great experience of iOS at budget, then go for this. I am sure you will not regret."
OR,"Great buy, i was using android for years never used iPhone. But after purchasing Xr i can clearly see the difference, iPhone is far more faster and nice interface"
CG,Super smooth and easy to use with full 1.5 day battery life with dual SIM and moderate usage of phone...
CG,Superb phone at 45k ... Apple at its best ... Awesome processing ...
CG,I purchased this iPhone XR I think the same is refurbished item which I received.
CG,Excellent Product
CG,Excellent phone with wireless charging.
CG,"Best mobile in low price, camera quality is batter then from China mobile 48 mega pixel means 12=48 🤣 Face unlocked very fast,"
CG,Please provide original invoice as the copy provided with phone was incomplete and torn . I have submit the same in my office. Please do the needful on priority.
CG,Nice 1
CG,"performance,camera,battery and all features all awesome"
CG,Amazing product. Got in lightening deal
CG,Awesome phone
CG,Defenetly worth it
CG,No one can beat Apple Processors.
CG,Best phone I've ever had
OR,The phone is not good as normal I phones . Always hang. Face recognition always give problems . And if you go service Center they say take backups and come back
CG,"Got a good deal in the sale, worth it"
CG,"The most complete IPhone ever. You will not miss the fingerprint reader, the Face ID is amazingly fast. I am also getting good battery life with it. The single is doing wonderfully well."
CG,"Genuine product in best price, Happy to upgrade with iPhone XR :)"
CG,Awesome phone! True genius and different from others..
CG,Amazing buy. Works perfectly fine and I bought it at an unbelievable offer price.
CG,super mobile
CG,"Superb and satisfied with performence, face recognition is little bit slow rest all is gud..."
OR,"Awesome. Bang for buck. Has the features you are willing to pay for , a very decent price post HDFC cash back offer."
OR,"It's an awesome product from Apple, The battery life has improved alot than the previously launched iPhone models. User interface and iOS 13.2 is excellent. Guys just go for it..."
CG,Excellent performance and swift touch
CG,"Except it gets a little heated in the back while playing , other than that it’s the best."
CG,The mobile phone is too heavy and there is no fingerprint sensor (though there is Face ID). Otherwise everything else is great.
CG,"Thanks Amazon for this superb deal,its highly unbelievable to get such an excellent model of IPhone on such a reasonable price."
OR,iPhone XR is a expensive branded phone and it’s a water and dust resistant but After only three weeks use  i found dust in my camera’s lens . I’m extremely disappointed about this.
CG,Quite sturdy phone - though little heavy & bulky. Good efficiency & battery life.
CG, Best Camera quality and best battery
CG,A great product at affordable price
CG,Loving the experience with the budget iPhone
CG,"Not even completed 1 month but battery life became 99%, some defect may be will go and show some iphone store."
CG,"Good apple thanks,"
CG,Good product. Bad battery life
CG,Unfortunately having issue with screen
OR,Product received Manufacturers damage display and back panel gap and back panel damage received
OR,Calling Sensor is Not Good Enough And Also Sometimes Touch Stops Working for Few Seconds
CG,The phone is awesome. The one thing I disliked Earpods not met my expectations.
CG,Apple iPhone is iPhone.. Amazing feature
CG,"Realy awsom phone. Best price 23,900. Thank you amazon."
CG,Like the looks and a valuable investment
OR,Order was delivered before the estimated time of delivery. Really enjoying the product.
CG,The best smart phone. And is better android phone
OR,"Upgraded from android to iPhone with iPhone XR and this has completely impressed me. Good Camera, Excellent battery life and faster Face ID reading."
CG,"this phone is strong, i have dropped it quite a few times. camera quality is good. the battery life is better than my poco."
CG,"No issues in performance, flawless"
CG,The smoothest phone ever. Best camera
CG,Apple product. I Rest my case
CG,Awesome phone
CG,Absolutely loved it. Upgraded from my old IPhone 6 to this beauty. I realized how slow my previous phone was after I started using this one and I got a great deal from Amazon.
CG,Fantastic phone📱 ever
CG,Charging Adapter/wire not working properly have to adjust at different angles.
OR,"Good performance..Believe me drop test done in 1st week of purchase, not intentionally by mistake fallen down but nothing happened..Thank God😍😍😃"
CG,It’s a very good and Original product.
CG,Wonderful product.. but need to update new version after unboxing🤣 m not satisfied with packing literally t phone comes with 1 simple plastic warped cover thats it.
CG,"Facial recognition works great, camera is excellent and battery life is great too."
CG,"Best Product, best performance, good camera quality, full day battery life, no hanging or any other issues."
CG,Very good but face unlock is slow good battery life and excellent display with good feature but required wifi to work or download any file over 200 mb
OR,Screen had a yellow tint. There was a manufacturing defect. Chek ed with other devices in showroom and all were normal white. Returned the device and claimed refund for this.
CG,There is no finger print sensor. But face id does a pretty good job. Love this phone.
CG,Camera is good but not the best. Bettery life is the best. Face recognition is fast and reliable even in dark condition. The screen is best in LCD class displays.
CG,Nice product
CG,Altogether I liked. But an easy way to type other languages than English is essential
CG,Bad front camera and weight of the phone. Display quality of the screen and rear camera are amazing
CG,No regrets after using almost for 1 month. Dual sim working perfectly. Guys go for it if your budget is approx 50k....don’t spend on other android phone...
OR,Mobile’s screen is not scratch resistive.
CG,Awesome product!!
CG,Sometimes face recognition stops working. Overall a brilliant phone.
CG,Battery life good  camera quality is also good
CG,Superb deal during the sale and enjoying the smooth interface
CG,The screen quality is amazing and the phone overall looks awesome! I upgraded from an iPhone6 and the photos come out really well!
CG,Go for it.
CG,Worst return I have ever faced from Amazon and the boy who came to inspect the phone he had taken 300 And he's saying that everyone phone has returned but not mine
CG,Awesome phone!
CG,It’s the best phone!!❤️Camera quality is superb Nd the battery backup is too good😻Nd this is my first iPhone I think it’s worth the money 💰 🥰
OR,call receive and end feature is good... camera quality excellent.... touch quality good... battery life jabardast... phone face unlock speed very fast... every thing is perfect...
CG,No fingerprints and moderate camera quality. Otherwise perfect phone.
CG,Not expectable
CG,Great Product Camera is Awesome.
CG,If you love Apple then it totally makes sense.
CG,Its an average phone and complete wastage of money.
CG,Bang for the money
CG,Beautiful product....
OR,"The phone is overall good. Its a bit heavy than other iPhones but still the battery capacity, the screen resolution are well upto the mark"
CG,"If have budget then definitely go for it.best part of this phone is that it contains A12 Bionic chip, which takes the experience to whole new level."
CG,I am having issues with the sim lot getting not detected intermittently. Causing major issues for myself
CG,the phone is awesome.battery is perfect and the camera is magnificent.its photos are like the photos of dslr.sound is also very good.build quality is also best.red color looks awesome
CG,Amazon is amazing! Super price and delivery. Using it without issues. I extended the warranty at Apple service.
CG,Very nice product.  Delivery was quick.  Very happy with the product
CG,Got a Nice deal of this superb phone. It's a worth for money deal.
CG,What to say about . 🥰 excellent phone with amazing battery backup
CG,"over all excellent my videw ,"
CG,Camera quality not as per the expectation better to buy 1 plus variants.
OR,Good phone for pictures and very handy and compact to use not like big phones in hand ...but the battery life was not so grate ...overall very good phone to have
OR,100% orignal prodecut sell Amazon. Time to deleverd prodecut. Best price 38k provide amzone in great Indian sell. Always my trustable  online wapsite is amzone .
CG,Nice phone but not get the bill plz sent it
CG,Awesome mobile
CG,Outstanding Camera
CG,Amazing I love iphone
CG,Screen 8/10 camera 10/10 speaker 11/10 build quality : awesome. Best value phone and best in market and last but not least it is Apple
CG,Great phone at great price
CG,Nice phkne
CG,1st time I had purchsed my iphone online. It was delivered on time and is working fine.
CG,Good price & quick delivery!! As alway apple  product as of best quality.
CG,"using this phone is really satisfying for that price its worth it it contains its pros and cons, but it is good and can adjusted to daily use."
CG,I upgraded from my I phone 6 - & this XR is a real step up - everything in the phone is much much better
CG,Loved it
CG,Power adopter should be given fast charger..
CG,Left speaker is not working
OR,Worst model in iPhone series. Poor battery performance and charging will take couple of hours  and voice calls are too noisy... This is not review this is my experience.
CG,Great phone. I have using this phone for a month now. Battery life is better than other iPhones. Camera is very good.
OR,There is no figure print sensor but i am very happy with face unlock feature
OR,"If you want an iPhone but don’t want to spend on XS or XS Max, then blindly go for it!"
CG,It is good for nothing.the worst ever product I have seen in my lifetime
CG,One of the best phones in this price range!
CG,Can't believe an iPhone can give good battery life. Overall great phone
CG,Masterpiece from Apple
CG,Great phone with all the required features no need to spend much money for other phones xR is only enough for all my needs
CG,My adapter is not working!!
CG,Amazing phone
CG,Price is very good
CG,Heating persists..
CG,Superb
CG,Overall good Experience ; switching from iphone6 to iPhone xR was really worth the buy.
CG,The phone is a bit slow while switching data plans between the two connected sim.
OR,No need to say about an iPhone. This is the best of all iPhones that I have ever used. Buying it from Amazon is another enjoyment. Thank you.
CG,Great product but little one day delay delivery
CG,"Ultimate phone, red color"
CG,Their is no issue in screen gaming is super dope .
CG,Go for one plus 7 pro. It's a great deal. I hv both and I can assure u. iPhones can't beat one plus.
CG,My first IPhone and I am in love with it..
CG,Excellent phone....money’s worth
OR,Best battery backup good camera its a value worth but voice call quality is very low mic is not working properly the person on the other end cant hear me clearly
CG,Got it for good deal..
CG,battery life what i liked about the product
CG,Good value worth it
CG,"It's a good mobile phone but comes with a 5 watt slow charger but mobile supports fast charging, it should come with a fast charger"
CG,So far enjoying this product. Luckily I could grab this phone on offer for 48k along with offer applied during prime day. First time using an apple product and I am very happy
CG,Amazing.good camera.value for investment
CG,Super phone... simply love it..just go for it..
CG,superb one
OR,I am in love with the battery life of this phone. 100% charged phone takes around 24hrs to go down to 5% even after gaming n continuous usage on daily basis
CG,My first iphone and its awesome
CG,It feels so nice in hands and a compact device love this. The main problm i have found it can't download files more than 200mb on mobile data.. It requires WiFi only
OR,"Cheers to Amazon! This is the most Value-for-Money online shopping deal ever! I love the iPhone XR, and the Coral is an absolute gaze-stealer and a hit the ladies 🍑"
CG,Awsome looking premium smartphone. Size is perfect. Interface is so smooth and fast. Battery back up is outstanding. Camera quality is fantastic.
CG,Excellent..
CG,"Superb phone,great photo clarity and battery backup is good."
CG,As expected
CG,Good
CG,Best battery life so far amongst ALL iPhones i used so far in last 8 years...
CG,"Iphone xr is superb so I gave 5 star, camera is nice but selfie not satisfied to me, battery is also not satisfied. Also like the phone."
OR,So superb .. I’m 1st time using iPhone . Very interesting nd  I’m impressed .. camera quality awesome .  1day battery backup .. face lock in very strong ..
CG,Nice alternative
CG,WORTH THE PRICE
OR,Purchased the new iPhone XR on 21 July.Not sure battery is not at all good. Disappointed with amazo and apple both.please help me out with the exchange or refund .
CG,"Phone is awesome , go for it. I purchased in amazon festival offer and it saved my 5000 rs ."
CG,From iPhone SE To iPhone XR. Camera quality is good. FaceID works really nice. Powerful phone.
CG,The purchase experience was seem less and the delivery also happened promptly. I am very happy with it. The 256 X-r is difficult to get and the product is awesome!!
CG,I am a new iPhone user switching from android. The battery life is best!!! Last a day for heavy usage. The phone is best in every feature mentioned. WORTH THE PRICE
CG,Amazing battery life and at a great price specially during the Amazon Great Indian Festival
CG,Now I’m happy with the quality of the phone.
CG,"Overall the product is good. As I have used android last 10 years, feeling more customisation needs in iOS. Like the MIUI skin.."
CG,After one month of buying the phone it got hung up which never happens with i phone want a immediate replacement
CG,Awesome as ever
CG,Still one of the best phones out there with this price. The specs are awesome and even the lcd screen shows no compromise even outdoors.
CG,Aswm phone at this price...
CG,As an apple user I would like to say that this cell looks really amazing and face lock is just a kinda magic. Camera is as lovely as I expected before my purchase.
CG,"Awesome product from Apple as usual. Face recognition , back camera quality at its very best. Although front camera during night will not take that great pictures."
CG,The best part is the safest delivery taken care off with multiple safety features packaging.
CG,"This phone is amazing .... battery backup is really good.... and the face id function makes your life ease, camera quality is very good ... in love with this phone"
CG,Nice Product to gift someone
CG,"Fantastic Phone, however the camera quality looks inferior specially compared to the one offered in other brands."
CG,Doesn’t save more than 20-30 numbers in call history
CG,I like the buttery smooth interface. Face recognition and battery life are very good. Overall I am very happy with my decision.
CG,I mean it's iphone (for crying out loud) 😃
CG,Charger provided with phone is not working resulting unable to charge phone
OR,I was scared to buy such worthy product from Online. But i Loved the product from Amazon..It is a great phone. Thanks to Apple n Amazon..Loved it..😍😍😍
CG,👍
CG,Apple phones are awsome
CG,You dont dislike apple
CG,Wonderful product and superb service provided by amazon as first time the product was found to be damaged then they immediately replaced it within 4 working days.
CG,"Face unlock is slow, battery is good, 64gb has less storage go with 128gb minimum. Except security and sharing iphone support almost everything similar to android"
CG,Amazing.excellent.
OR,I got IPhone with in a day time. I’m a first time iOS user and I’m liking it. It has got quite a lot of features. From Face ID to wide screen display.
CG,Product not a good price as well as not desire range of quality
CG,This is my first iPhone and I’m enjoying the experience. From android to IOS I feel great smoothness in user interface
CG,Excellent phone as expected.
CG,Price Wise Excellent Product
CG,Iphone xr is just awesme....best battery backup..everythings are smooth as butter..and blue coloue......ufff just love it.....
CG,Camera is very good and battery life 1day with full Internet
CG,"Excellent product, must buy"
OR,Everyone speaking about lesser resolution. I have used 402 ppi mobiles but still I didn't see any problem in iPhone xr lower resolution display... Display is simply awesome
CG,"Amazing phone, loved every bit of it"
CG,Best product of apple for mobile.
CG,"Everything is nice, only the battery should have been more powerful."
CG,The Face ID is too good. I was a bit sceptical at first to move from Touch ID to Face ID. But the tech is too good no problems as now.
OR,"Classy, smooth and meets the expectations.  Thumbs up!!"
CG,Just awesome. Working like a wonder.
CG,Good
CG,Great phone with excellent battery life.
CG,Good product
CG,Gud Apple Product using for the 1st time this  Apple Product Loved it 😍😍
CG,Amazing phone
CG,four star for the price but awesome mobile
CG,Its good...but i feel android was better...and more user friendly
CG,Camera quality is just awesome. Loved it. All the features are just woww.
CG,Awesome product
CG,Awesome is the word for the phone & loved amazon for the great offer ... was good bargain
CG,"Good performance machine, single camera but with amazing quality, multitasking is fun on this one, it’s the perfect sweet spot between x and xs"
OR,camera doesn’t recognise non human images for portrait mode. Portrait mode shouldn’t be restricted for humans. There’s a lot of scope for portrait photography which can be excelled.
CG,Its a half eaten beautifully designed APPLE which interacts with you. 😅😂
CG,Awesom
CG,Excellent performance-Awesome Camera-Picture Quality the best in iPhone-Face recognition works perfectly fine.
CG,A Very good phone
CG,Good battery life
CG,great but buy offline
CG,Very nice.Iam very happy.All system and software are good nice.
OR,The battery health has fallen to 97 which I didn’t think it would happen
CG,Awesome battery backup and camera :-)
CG,Battery is drying when I play games battery us not upto the mark
CG,Pretty good
OR,Ultimate choice for better camera and battery life with best in class face detection even in no light condition. As always one of the best product from Apple.
CG,Main problem network
CG,Battery and camera are good but phone heated up a lot and starts to lagg
CG,Best iphone in budget
CG,"Camera quality, battery life and ios"
CG,I don’t think I need to write anything about Xr. A very good phone.
CG,Got this product during Amazon Great India sale at an amazing price
OR,Best iphone XR as compare i phne xs. Good battery life and face regcognition
CG,"Awesome product from Apple..  Awesome speed, Massive Battery life and Awesome camera.. Do not underestimate its Display quality too.. it's so good.."
CG,Excellent..great product..good build quality..good performance
CG,Overall product is awesome
OR,"The product is just awesome no doubt and its worth to buy without any worries really its value for money, Thanks amazon for giving me great deal and product."
CG,"Not happy with this purchase , received damaged iPhone ."
CG,Amazing i phone excellent service by Amazon
CG,Good
CG,Good
CG,I want to replace my iPhone XR because I looking like clone help me plz
CG,Best for upgrade from 6s to XR
CG,I like the battery life and the camera is not so good as it has only one camera but overall it’s performance is very good
CG,none
CG,No finger print
CG,iPhone Xr have dual sim. This mobile ring tone for incoming calls in SIM1 and SIM2 have not separate option. both have only one ring tone.
OR,"the product i have received is not getting charged. and when i opened it for the first time, the sensor is showing issue like the screen doesnt turn on if i remove it from my face while on call"
CG,The only problem i feel is battery....which can be sorted out...Excellent phone overall with this price...
CG,"Best iphone. Sturdy, long battery life. Real smartphone"
OR,Apple always did their job well for iPhone XR  .You can’t even find the difference b/w oled and lcd.its a sturdy style from Apple .
OR,Pls plz dont purchased apple xr online...i got network issue...n service centre r not ready to replace n not solving problem....extremely bad experience
CG,Worth purchasing this iPhone. Upgraded from iPhone 7. Good experience.
CG, Defective piece received
CG,Really great product. As always top notch quality delivered by apple.
CG,"The Face ID detection, most of the time I have to enter password to open the phone"
CG,Good product
CG,"Product looks good. But if I compare this with a showroom (Aptronix) one, it looks some what different in resolution."
OR,Mast product he bhai log. Le lo saste me mil raha he. This phone have same specifications as x and xs. Only difference is in display
CG,"Thanks to Amazon Sale, got this with amazing deal. 😍"
CG,It’s awesome.. no comments required..
CG,God
CG,Not bad
CG,Superb Phone
CG,Received a new xr. Found it defective as face id and camera aren't functioning properly. Replace the defective item with a fully functioning one.
OR,Aweosme phone with great looks and colour with fast and safe delivery thanq Amazon
CG,"The best iphone i’ve ever used  with great performance , speaker quality is awesome .Best for gamers and audio lovers ."
CG,Extraordinary one
CG,little bit got warm
CG,I am lobing ith.
CG,"Every thing is good ,I loved it.but only thing is charging taking very long time,no fast charging option.Camera also not so good ."
CG,Amazing
CG,Amazing product with a very good deal during prime day. Prompt delivery by seller. Thoroughly enjoying the phone. No complain so far. So 5 stars.
CG,Best iPhone
CG,"Beautiful apple phone, very happy"
CG,It’s really one of the best things that we bought on the amazon sale!
OR,I like this phone. Amazon service is very good. I get this phone 1day delivery. I will save my 7000rs for this phone. I buy this phone 42900rs. Store price is 50000 rs.
CG,I felt just one thing of apple is its worth buying a great experience... yes bit expensive but still worth to its cost
CG,Excellent iPhone for affordable price ( relatively ) . Battery backup is superb .
OR,Nothing to dislike.:: best iPhone I have used till now
CG,Best deal from amazon
CG,Selfie camera could be improved. You can get the same clarity/ better details on a one plus 6t.
OR,"Speed quality of internet etc is disappointing  compare to similar kind of Samsung phone. Otherwise phone is good , Never hang"
CG,"Paisa vasool phone, As usual no need to write review."
CG,Review after extensive use of two months. One word simply Awesome.
CG,Great product for the price. Got it for Rs 43k (128) couldnt get any better at the time.
CG,We like updates in iPhone
OR,Battery is the best. I is my first iPhone.  Audio is best in class . Battery capacity is lit and I can use it like for 3 days . Camera is good.
CG,The phone is simply suberb...you can buy this without 2nd thoughts...Amazon delivered the product on time and well packed....awesome experience
CG,Excellent phone with great camera. Being an android user  this is the due time I am using iPhone and it’s a truly remarkable experience so far.
CG,Incomparable
CG,Excellent!!
CG,Voice clarity and receiving of mobile signals is very poor. Its only a brand but coming to voice clarity its not upto the mark
CG,What can I say more about the Apple products it has got good battery life and pretty much decent camera
OR,Thanks Amazon and Apple. Phone performance are very well and battery backup is to good compare to other Apple iPhone.
CG,Hanging issue
CG,iPhone is iPhone
CG,"This iPhone undoubtedly has the best battery life in comparison to any iphone , front camera is too good , only demerit which I have experienced so far is this has bad screen quality."
CG,Best one
CG,Don’t Buy If price is More then 45000
CG,"Camera is excellent, battery life is exceptionally very good and also face recognition is good"
CG,Great phone
CG,earphones are not working bad experience  only one side working. .
CG,My charger is spoils in 3 months need replacement
CG,Very bad experience with I phone XR very disappointing...
CG,Nice product but no discount made the deal bit expensive
CG,After using 1 year quality okay but need to improve battery quality
CG,"The phone is working properly but the headphones are not working. For a new device, it’s pretty surprising to see such a state. Not happy with the item"
OR,I think this iphone xr is fake phone quality of sound  is not good
CG,"Great phone, value for money. Good battery backup. Battery recharging takes more time should include fast charger. Everything else is perfect."
OR,"I was using iPhone 8 and could see the Technology improvement with Xr. Amazing phone specially - Camera, Battery Life and the Face ID"
CG,"Was delivered a faulty charger, went to the Apple store to get it checked and was told that it is a fake one."
CG,"Apple as usual very good with performance, good camera and good battery life. Worth upgrading from iPhone 6."
OR,iPhone XR Decent phone worth for money !
CG,Good phone in this range
CG,"This is an amazing phone. People who own an iPhone and are looking for an upgrade, this is the phone to get."
CG,Got defective piece and phone ring is not working
CG,"Camera is not good for night photos, battery is amazing"
OR,Iphone XR is a great phone with excellent features. The Amazon sale made it a value for money proposition.
OR,"i phone xr is best phone ever. Best display, good battery & camera. And face recognition is so fast. Best thing is budget smartphone"
CG,Premium Smartphone with good features
CG,"Fake phone , Defected item but not return"
CG,Awesome! Product with best price
CG,its great
CG,"Battery life is excellent,"
OR,After 4 moth used...its grate phone..battery life ++++++good..over all ..Happy to purchase form amazon.Good service/fast delivery 👌👌👌👌👍
CG,Much better then mid range android phone of any brand. Good Betty life. Good ram management. Very very smooth OS. No lag in any application and game.
CG,"Its a fantastic phone to use, only disadvantage is its too heavy. I phones are generally famous for sliminess and lighter wts except this one."
CG,At last i phone with relatively longer battery life!!!
CG,I am loving it
CG,My phone is yet not start plz help and guide it has been locked
CG,"Super quality ,i loved it"
CG,Fantastic phone.My dream phone.
CG,It’s a good iPhone for that price range of less than ₹50k
OR,"Sometimes the phone hangs , battery life is good . Camera quality is good . Apple drops prices within a month of my purchase which is heart wrenching"
CG,"At the net price of 37999/-, this was an instant buy. Found no problems and every things works great. Grab it fast, when less than 40000/-."
CG,It's been 5 months that i have this device..
CG,This is the best phone I have bought till date. Awesome product and fantastic delivery by Amazon.
OR,Battery back up is not in expected range and camera quality is not better
CG,"Not able to even power on, product is not in working condition"
CG,In 3 months it’s battery maximum capacity health reduced by 3%
CG,"No issue with phone till now after usage of around 1 month. The battery life is quite good, for me full battery  lasts for 3 days."
CG,Sensor issue on this phone and amazon is not responding i am trying to reach out but no response from them.
CG,Very nice product by apple in affordable price..
CG,XR is great ...but I’m facing problem in Screenshot capture from past one month....rest all ok
CG,"Wonderful product, sells itself. iPhone is great & wonderful quality"
CG,Awesome product and delivery by Amazon is Great
CG,Overall good phone but camera quality and features less than expected. Front camera is quite average for a phone of 40k +
CG,No doubt best phone.. got it in beat deal.... what else u want. It's been 6 months going on well.
CG,Have been an apple user for years now and the battery life of this phone just bowled me over 😬😬
CG,Nice look
OR,Value for money product by Apple. I used to use iPhone 7 before this so it took me sometime to get hang of this phone since there’s no home button.
CG,Awesome
CG,Useless overpriced phone. Touch sensitivity is worst.
CG,Excellent product. Awesome battery life
CG,Good battery as compared to old iPhone
CG,Excellent performance very smooth operating system.  Thanks to apple.
CG,Brilliant phone
OR,Top class camera quality and whole day battery life and lightening face recognition are the best features of iPhone XR
CG,Good
CG,"yes, some software issues were there but it was not bothering me at all. Very comfortable phone."
CG,All good
CG,Satisfied will all the features
CG,Face recognition - fast and good
CG,Face recognition not tried
CG,simply awesome
CG,Awesome
CG,Wonderful product... Super Graphic.. Just Amazing iphone Xr.
CG,"Good product, but little heavy and camera is just ok not as good as marketed"
CG,"Battery life , call reception & call quality"
CG,No performance issues until apple decides to tweak down the software just to make you buy their latest products
CG,Genuine mobile for new generation
OR,Recognise my and my sis face
CG,Should increase pixel of back camera
OR,Seems very high value of this phone..as not found something really good features that makes us excitement.. but brand lovers always keep their brand loyalty..☺️
CG,Worth every penny but a little heavy and bulky
CG,"The Face ID recognition is not working at all. I missed to figure it out with in the return period, now I need to get it done at the icare centre"
CG,Best in iPhone
CG,"Except weight, everything is awesome"
CG,Good enuf as per the cost
OR,I phone Xr Stopped working on 3rd day of purchase😡...if this kind of service Amazon’s provides during sales... then I should stop believing them
CG,I’m really happy with the phone it works properly and batter life is superb as compared to other iPhone I have used
OR,For apple products don’t won’t to talk Bcos I have one suggestion for all use the phone and get the feel of Real phone
CG,The multifunction display wasn’t functioning on the day 1
CG,The handset is very bulky to use . Much more was expected from Apple . I was earlier using iPhone 8 but seems wrong decesion upgrading the phone
CG,Face unlocking is little slow and battery also
OR,Awesome battery life fantastic sound quality but camera disappoints me bit ...better camera phones available in market with just 15k ..
CG,Good one excellent features
CG,Everything is perfect
CG,Beauty full iphone ☓r
CG,"Battery life is good, classic iphone! - weight could have been lighter :/"
CG,Mobile device is not upto the mark
CG,Average quality. Some what slow
CG,"The second best apple product i have ever used, the first one is still ipad pro"
CG,Great Camera Quality. Great Performance
CG,Awesome phone at affordable price..!! Not cheap but affordable..!!
CG,This is my first iPhone and I’m loving it.
CG,Best iphone and 200 percent value to money.
OR,This product is very good with respect the money offered by Amazon and All the features are working properly without any kind of issue.
CG,"Very good Phone, battery life is very good and better than other old iphones, i have moved from 7+ to XR, what i've seen , a good Battery phone"
CG,"Battery durability should be improved , which is critical for this phone"
OR,its superb phone. finally got my dream phone. n thank you amazon for delivery on time n genuine phone. love to shopping on amazon ☺️😊
CG,Nice Experience so far..!!
CG,battery life 👌🏼
CG,"It is a good phone but overall performance is not superior than Apple 6s, 7 etc... So it is just a budget phone nothing else."
CG,Apple products does not need any reviews. They are just amazing and i have been using and also will be using apple products throughout my life
CG,Very nice
CG,"Value for money, very good battery life. Supports gaming, faster engine, response time is good."
CG,Excellent
CG,Not so worthy what you pay for this
CG,Using iPhone XR over a month and the experience is so great. Camera quality is superb but front camera is not upto the marks.
CG,Finger print not available but Face unlock is too fast....
CG,Impressive product by Apple. Loved using it. Got it at a good discounted price during the Diwali sale with exchange.
CG,It's a very good choice. Best iphone used so far. Worth the price
CG,Face ID no finger print. Great product Face ID works faster
CG,"Overall phone is good, Battery life could have been better."
CG,Good Experience with product...worth buy.
CG,"Awesome .... I have using this phone from 2days and it’s quiet super feeling to work ,play game&capture photos with ultimate Clarity."
CG,Connector is missing.unable to contact the concern person
CG,Very good
CG,Excellent mobile
CG,Very very nice and good
CG,"The product, delivery everything on point."
CG,A disgrace. Camera has become awful and the pictures clicked don’t look real. Looks like a filter is by default on.
CG,Nice product from apple
CG,Good mobile. Worthy purchase. Apple iOS is far better and simple than android. Battery life on this iPhone XR is better than other iPhones. Go for it.
CG,"Best iPhone with Best Battery Backup, Excellent service from amazon."
OR,"If you don’t have an iPhone, you don’t have an iPhone.. :)"
CG,Reasonably Apple. Gets the job done.
CG,worth it till now using
CG,Worth buying xr phone.
CG,not worth money
CG,Excellent performance
CG,Battery is very good .display and face are best. Performance is little bit more improve maybe after update
OR,The screen quality is amazing although it's LCD. The face id is easy to fast then expected.
CG,Excellent
CG,Excellent apple product in real good deal 128 gb in 48k. Thanks to amazon for nice prompt delivery
CG,It literally takes 4-5 hours to charge from 20 to 100%.
CG,Heating problem face.
CG,The product is not so good some time hanged and some time not working properly the product performance is so badly till now
CG,Highlights the battery in almost full day
CG,Awesome phone superb
CG,Awesome product with an efficient battery life. LCD display is pretty cool when compared to retina it doesn’t have much differences
CG,Nice
CG,All damaged phone sets are re circulated n dumped on us
CG,Earpods was written there but i am provided with wired earphone??? ☹️☹️☹️
CG,Battery life is very very low. Need charging frequently.
CG,But i think. Voice mic has some issue. Other people always report me for low voice in coversation
CG,Awesome battery
CG,First tym m very disappointed from I phone ...
CG,Bought in discount offer overall good mobile
CG,As usual the best phone from apple IPhone XR. I have been using iPhone since 7 years and hope this time apple bring some awesome product.
CG,product received with no damage. What else you want ? ;)
CG,"Weight is high, ergonomics to hold the phone is not good"
CG,I’m a apple 🍎 lover so i will give 5* for all there innovations
CG,Great deal on prime day
CG,"I write this review after one n half month, overall performance of this iphone xr is great,"
CG,Good product.
CG,The best iPhone battery life in a while easily last a day and half with games and multitasking and stuff
CG,Best experience with IPhone . No doubt you will love it awesome camera better than android phone cameras
CG,Amazing phone & great battery life. The best amongst all the iPhones.
CG,Longing to purchase one.after purchasing I feel that Only good thing in iPhone XR is camera . I feel android has better features.
CG,Bought this when there was amazon sale was going on for 36k +4K (which i didn’t pay bcz of 10% instant discount on my credit card
CG,Dead on arrival worst experience first time by amazon
CG,Super value for money product. Great picture and sound.
CG,Awesome mobile... one of the best iPhone I have ever used.
CG,Obviously Its value for money.
CG,Awesome phone .. camera was superb no worda for that realy happy and its my first iphone .. really happy
CG,iPhone XR is the best phone as per me under 40000 price point. Thanks to amazon for delivering the product within one day.
CG,"Device started becoming warm of late, reason not being known.not getting same battery life now as compared to used before 3 months when this was bought."
OR,Phone built quality is Awesome. Headphone and battery charging jack are the same so that create a mesh.
CG,Amazing phone but overpriced as always with any of the apple products.
CG,Phone is functioning simply superb
CG,Best deal
OR,although apple is famous for his low battery life but this XR is breaking the history with full day battery backup and best affordable iphone must buy it
CG,Nice product
